filename,label,feature,value,z_score
english45.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,33.02498,8.74
mandarin30.wav,Human,mfcc1V_sma3nz_stddevNorm,5.869809,8.71
chaldean1.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,3.5037653,8.69
portuguese36.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,-25.395994,8.67
english336.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.5278707,8.62
english495.wav,Human,logRelF0-H1-A3_sma3nz_amean,-34.075127,8.61
vietnamese10.wav,Human,mfcc2V_sma3nz_stddevNorm,223.07117,8.61
english495.wav,Human,logRelF0-H1-H2_sma3nz_amean,-37.724667,8.6
english450.wav,Human,StddevUnvoicedSegmentLength,1.055346,8.57
english566.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,32.46335,8.56
chaldean1.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,32.409172,8.55
english450.wav,Human,F1bandwidth_sma3nz_amean,680.30615,8.47
ibibio3.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.95847,8.41
english45.wav,Human,alphaRatioV_sma3nz_stddevNorm,9.936007,8.4
english515.wav,Human,mfcc2V_sma3nz_stddevNorm,-214.31203,8.33
english450.wav,Human,shimmerLocaldB_sma3nz_amean,2.7089455,8.31
kiswahili3.wav,Human,slopeV500-1500_sma3nz_stddevNorm,-73.24333,8.31
cantonese9.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.370396,8.23
english317.wav,Human,StddevVoicedSegmentLengthSec,0.44826508,8.21
english159.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.195353,8.17
spanish105.wav,Human,loudness_sma3_pctlrange0-2,2.5227823,8.15
2026-03-08 16-18-01.wav,AI,StddevUnvoicedSegmentLength,1.0083753,8.07
spanish105.wav,Human,loudness_sma3_percentile80.0,2.884024,8.06
spanish36.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1441.6163,8.04
portuguese46.wav,Human,spectralFlux_sma3_stddevNorm,2.316101,7.8
english265.wav,Human,loudness_sma3_percentile20.0,0.84410083,7.77
english159.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.49339724,7.76
bulgarian4.wav,Human,slopeV500-1500_sma3nz_stddevNorm,65.64875,7.62
english245.wav,Human,logRelF0-H1-A3_sma3nz_amean,-27.161303,7.58
taishan1.wav,Human,slopeV500-1500_sma3nz_stddevNorm,-66.75209,7.56
english265.wav,Human,loudness_sma3_amean,1.6996124,7.54
english265.wav,Human,loudness_sma3_stddevRisingSlope,16.722445,7.46
english315.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,28.69168,7.4
english315.wav,Human,spectralFluxV_sma3nz_amean,1.5136503,7.32
turkish15.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,28.332462,7.29
spanish105.wav,Human,loudness_sma3_stddevRisingSlope,16.458397,7.29
spanish143.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1308.77,7.23
korean9.wav,Human,logRelF0-H1-H2_sma3nz_amean,42.736954,7.17
english260.wav,Human,spectralFlux_sma3_amean,1.0336578,7.16
spanish105.wav,Human,loudness_sma3_amean,1.6390837,7.14
korean11.wav,Human,spectralFluxV_sma3nz_amean,1.4854287,7.14
english336.wav,Human,F1bandwidth_sma3nz_amean,785.65094,7.13
mandarin30.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.9172564,7.03
korean11.wav,Human,spectralFlux_sma3_amean,1.0187529,7.02
english56.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.46174952,6.98
spanish105.wav,Human,spectralFluxV_sma3nz_amean,1.4583993,6.96
korean11.wav,Human,loudness_sma3_percentile80.0,2.611626,6.95
russian46.wav,Human,spectralFlux_sma3_stddevNorm,2.1703827,6.94
english159.wav,Human,mfcc1V_sma3nz_stddevNorm,4.7621956,6.93
urdu5.wav,Human,logRelF0-H1-H2_sma3nz_amean,41.437855,6.92
english343.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1256.6146,6.91
english469.wav,Human,F1bandwidth_sma3nz_amean,804.16486,6.89
english265.wav,Human,loudness_sma3_percentile50.0,1.5021104,6.85
english303.wav,Human,logRelF0-H1-H2_sma3nz_amean,-28.710503,6.83
english277.wav,Human,mfcc1_sma3_stddevNorm,22.233135,6.83
arabic25.wav,Human,mfcc2V_sma3nz_stddevNorm,-175.41318,6.82
english452.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1476.3901,6.78
shona2.wav,Human,mfcc1_sma3_stddevNorm,-19.891087,6.77
english277.wav,Human,alphaRatioV_sma3nz_stddevNorm,-9.156949,6.76
english260.wav,Human,loudness_sma3_amean,1.5806423,6.75
english260.wav,Human,loudness_sma3_percentile80.0,2.5538015,6.71
korean11.wav,Human,loudness_sma3_pctlrange0-2,2.2017105,6.68
farsi12.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.7861304,6.65
english108.wav,Human,spectralFluxV_sma3nz_stddevNorm,1.4220297,6.64
english105.wav,Human,spectralFluxUV_sma3nz_amean,0.7659058,6.63
english56.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,26.091217,6.6
hindi2.wav,Human,jitterLocal_sma3nz_amean,0.063251734,6.6
english450.wav,Human,mfcc1V_sma3nz_amean,-11.700861,6.58
filipino1.wav,Human,MeanUnvoicedSegmentLength,0.76869565,6.58
macedonian16.wav,Human,loudness_sma3_percentile80.0,2.5227435,6.58
english469.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.44397527,6.54
macedonian26.wav,Human,mfcc2V_sma3nz_stddevNorm,-168.18396,6.54
english352.wav,Human,spectralFluxV_sma3nz_amean,1.3933235,6.53
english469.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,25.790062,6.51
cantonese12.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,-18.904497,6.5
spanish36.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,585.5618,6.5
portuguese36.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.7279463,6.49
ukrainian7.wav,Human,spectralFlux_sma3_stddevNorm,2.0925286,6.49
taiwanese8.wav,Human,mfcc1_sma3_stddevNorm,21.131325,6.47
nepali5.wav,Human,slopeV500-1500_sma3nz_stddevNorm,-57.129414,6.46
mandarin30.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,579.0991,6.42
swedish19.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,577.82745,6.4
english260.wav,Human,loudness_sma3_percentile50.0,1.4342222,6.39
hindi2.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.43628246,6.35
english260.wav,Human,spectralFluxV_sma3nz_amean,1.3581825,6.3
english352.wav,Human,loudness_sma3_pctlrange0-2,2.1108985,6.27
english192.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,25.019672,6.27
amharic4.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,24.965216,6.25
hindi2.wav,Human,F1bandwidth_sma3nz_amean,855.33575,6.24
english218.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,24.932072,6.24
portuguese36.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.4314287,6.23
russian30.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,308.85233,6.22
english192.wav,Human,logRelF0-H1-H2_sma3nz_amean,-25.510885,6.21
english450.wav,Human,logRelF0-H1-A3_sma3nz_amean,-17.808714,6.19
czech2.wav,Human,mfcc2_sma3_stddevNorm,470.9049,6.18
03d5e055-dde0-4145-a502-8013dd032b29.wav,AI,mfcc2V_sma3nz_stddevNorm,-158.86133,6.18
turkish16.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.6099534,6.15
spanish110.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1131.6354,6.15
macedonian16.wav,Human,loudness_sma3_amean,1.4875084,6.13
